task_id,dataset_name,suite_name,task_type,n_samples,n_features,n_categorical,n_numerical,n_classes,has_missing,dim_ratio,size_bucket,feature_bucket
361055,credit,numerical_classification,classification,16714,10,0,10,2.0,False,0.0005983008256551394,medium (10k-50k),low (<20)
361056,california,numerical_classification,classification,20634,8,0,8,2.0,False,0.0003877096055054764,medium (10k-50k),low (<20)
361057,wine,numerical_classification,classification,2554,11,0,11,2.0,False,0.004306969459671104,small (<10k),low (<20)
361060,electricity,numerical_classification,classification,38474,7,0,7,2.0,False,0.0001819410510994438,medium (10k-50k),low (<20)
361061,covertype,numerical_classification,classification,566602,10,0,10,2.0,False,1.7649072894200868e-05,large (>50k),low (<20)
361062,pol,numerical_classification,classification,10082,26,0,26,2.0,False,0.002578853402102757,medium (10k-50k),medium (20-100)
361063,house_16H,numerical_classification,classification,13488,16,0,16,2.0,False,0.0011862396204033216,medium (10k-50k),low (<20)
361064,kdd_ipums_la_97-small,numerical_classification,classification,5188,20,0,20,2.0,False,0.0038550501156515036,small (<10k),medium (20-100)
361065,MagicTelescope,numerical_classification,classification,13376,10,0,10,2.0,False,0.0007476076555023923,medium (10k-50k),low (<20)
361066,bank-marketing,numerical_classification,classification,10578,7,0,7,2.0,False,0.0006617508035545471,medium (10k-50k),low (<20)
361067,phoneme,numerical_classification,classification,3172,5,0,5,2.0,False,0.0015762925598991173,small (<10k),low (<20)
361068,MiniBooNE,numerical_classification,classification,72998,50,0,50,2.0,False,0.0006849502726102085,large (>50k),medium (20-100)
361069,Higgs,numerical_classification,classification,940160,24,0,24,2.0,False,2.5527569775357386e-05,large (>50k),medium (20-100)
361070,eye_movements,numerical_classification,classification,7608,20,0,20,2.0,False,0.0026288117770767614,small (<10k),medium (20-100)
361071,jannis,numerical_classification,classification,57580,54,0,54,2.0,False,0.0009378256339006599,large (>50k),medium (20-100)
361072,cpu_act,numerical_regression,regression,8192,21,0,21,,False,0.0025634765625,small (<10k),medium (20-100)
361073,pol,numerical_regression,regression,15000,26,0,26,,False,0.0017333333333333333,medium (10k-50k),medium (20-100)
361074,elevators,numerical_regression,regression,16599,16,0,16,,False,0.0009639134887643834,medium (10k-50k),low (<20)
361075,isolet,numerical_regression,regression,7797,613,0,613,,False,0.07861998204437604,small (<10k),high (>100)
361076,wine_quality,numerical_regression,regression,6497,11,0,11,,False,0.0016930891180544866,small (<10k),low (<20)
361077,Ailerons,numerical_regression,regression,13750,33,0,33,,False,0.0024,medium (10k-50k),medium (20-100)
361078,houses,numerical_regression,regression,20640,8,0,8,,False,0.0003875968992248062,medium (10k-50k),low (<20)
361079,house_16H,numerical_regression,regression,22784,16,0,16,,False,0.0007022471910112359,medium (10k-50k),low (<20)
361080,diamonds,numerical_regression,regression,53940,6,0,6,,False,0.00011123470522803115,large (>50k),low (<20)
361081,Brazilian_houses,numerical_regression,regression,10692,8,0,8,,False,0.0007482229704451926,medium (10k-50k),low (<20)
361082,Bike_Sharing_Demand,numerical_regression,regression,17379,6,0,6,,False,0.00034524426031417227,medium (10k-50k),low (<20)
361083,nyc-taxi-green-dec-2016,numerical_regression,regression,581835,9,0,9,,False,1.5468302869370183e-05,large (>50k),low (<20)
361084,house_sales,numerical_regression,regression,21613,15,0,15,,False,0.0006940267431638366,medium (10k-50k),low (<20)
361085,sulfur,numerical_regression,regression,10081,6,0,6,,False,0.0005951790496974506,medium (10k-50k),low (<20)
361086,medical_charges,numerical_regression,regression,163065,3,0,3,,False,1.8397571520559286e-05,large (>50k),low (<20)
361087,MiamiHousing2016,numerical_regression,regression,13932,13,0,13,,False,0.0009331036462819408,medium (10k-50k),low (<20)
361088,superconduct,numerical_regression,regression,21263,79,0,79,,False,0.0037153741240652776,medium (10k-50k),medium (20-100)
361089,california,numerical_regression,regression,20640,8,0,8,,False,0.0003875968992248062,medium (10k-50k),low (<20)
361090,fifa,numerical_regression,regression,18063,5,0,5,,False,0.00027680894646514977,medium (10k-50k),low (<20)
361091,year,numerical_regression,regression,515345,90,0,90,,False,0.00017464028951479107,large (>50k),medium (20-100)
361110,electricity,categorical_classification,classification,38474,8,1,7,2.0,False,0.00020793262982793574,medium (10k-50k),low (<20)
361111,eye_movements,categorical_classification,classification,7608,23,3,20,2.0,False,0.0030231335436382754,small (<10k),medium (20-100)
361112,KDDCup09_upselling,categorical_classification,classification,5032,45,11,34,2.0,False,0.008942766295707472,small (<10k),medium (20-100)
361113,covertype,categorical_classification,classification,423680,54,44,10,2.0,False,0.0001274546827794562,large (>50k),medium (20-100)
361114,rl,categorical_classification,classification,4970,12,7,5,2.0,False,0.002414486921529175,small (<10k),low (<20)
361115,road-safety,categorical_classification,classification,111762,32,3,29,2.0,False,0.0002863227214974678,large (>50k),medium (20-100)
361116,compass,categorical_classification,classification,16644,17,9,8,2.0,False,0.0010213890891612593,medium (10k-50k),low (<20)
361092,yprop_4_1,categorical_regression,regression,8885,62,20,42,,False,0.006978052898142938,small (<10k),medium (20-100)
361093,analcatdata_supreme,categorical_regression,regression,4052,7,5,2,,False,0.0017275419545903258,small (<10k),low (<20)
361094,visualizing_soil,categorical_regression,regression,8641,4,1,3,,False,0.0004629093854877908,small (<10k),low (<20)
361095,black_friday,categorical_regression,regression,166821,9,5,4,,False,5.395004226086644e-05,large (>50k),low (<20)
361096,diamonds,categorical_regression,regression,53940,9,3,6,,False,0.0001668520578420467,large (>50k),low (<20)
361097,Mercedes_Benz_Greener_Manufacturing,categorical_regression,regression,4209,359,359,0,,False,0.08529341886433832,small (<10k),high (>100)
361098,Brazilian_houses,categorical_regression,regression,10692,11,3,8,,False,0.00102880658436214,medium (10k-50k),low (<20)
361099,Bike_Sharing_Demand,categorical_regression,regression,17379,11,5,6,,False,0.0006329478105759826,medium (10k-50k),low (<20)
361100,OnlineNewsPopularity,categorical_regression,regression,39644,59,14,45,,False,0.0014882453839168601,medium (10k-50k),medium (20-100)
361101,nyc-taxi-green-dec-2016,categorical_regression,regression,581835,16,7,9,,False,2.7499205101102547e-05,large (>50k),low (<20)
361102,house_sales,categorical_regression,regression,21613,17,2,15,,False,0.0007865636422523481,medium (10k-50k),low (<20)
361103,particulate-matter-ukair-2017,categorical_regression,regression,394299,6,3,3,,False,1.5216878561700639e-05,large (>50k),low (<20)
361104,SGEMM_GPU_kernel_performance,categorical_regression,regression,241600,9,6,3,,False,3.725165562913907e-05,large (>50k),low (<20)
